Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.142005255,0,-4.55406223e-07,4.55406223e-07
0.143005302,0,-4.2827358e-07,4.2827358e-07
0.144005335,0,-3.98088702e-07,3.98088702e-07
0.145005369,0,-3.64888706e-07,3.64888706e-07
0.146005402,0,-3.28729612e-07,3.28729612e-07
0.147005449,0,-2.89678212e-07,2.89678212e-07
0.148005483,0,-2.47813233e-07,2.47813233e-07
0.149005516,0,-2.03222783e-07,2.03222783e-07
0.150005564,-3.94695436e-16,-1.56003821e-07,1.56003821e-07
0.151005597,-1.57878175e-15,-1.06258511e-07,1.06258511e-07
0.15200563,-3.15756349e-15,-5.4097427e-08,5.4097427e-08
0.153005664,-5.32838866e-15,3.61171176e-10,-3.61174729e-10
0.154005711,-8.01725155e-15,5.69882772e-08,-5.69882843e-08
0.155005744,-1.12734893e-14,1.15645776e-07,-1.15645783e-07
0.156005778,-1.50230966e-14,1.76180819e-07,-1.76180819e-07
0.157005811,-1.89700516e-14,2.38424974e-07,-2.38424974e-07
0.158005858,-2.3311702e-14,3.02191381e-07,-3.02191381e-07
0.159005892,-2.64692646e-14,3.67272861e-07,-3.67272861e-07
0.160005925,-2.88374366e-14,4.33441386e-07,-4.33441386e-07
0.161005959,-2.88374366e-14,5.00445481e-07,-5.00445481e-07
0.162006006,-2.88374366e-14,5.680144e-07,-5.680144e-07
0.163006039,-2.88374366e-14,6.35855258e-07,-6.35855258e-07
0.164006073,-2.88374366e-14,7.0365644e-07,-7.0365644e-07
0.165006106,-2.88374366e-14,7.71088878e-07,-7.71088878e-07
0.166006153,-2.88374366e-14,8.37812536e-07,-8.37812536e-07
0.167006187,-2.88374366e-14,9.03475666e-07,-9.03475723e-07
0.16800622,-2.88374366e-14,9.67720894e-07,-9.67721007e-07
0.169006267,-2.88374366e-14,1.03018681e-06,-1.03018692e-06
0.170006301,-2.88374366e-14,1.09051302e-06,-1.09051314e-06
0.171006334,-3.04162179e-14,1.14834188e-06,-1.14834199e-06
0.172006367,-3.19949992e-14,1.20331833e-06,-1.20331845e-06
0.173006415,-3.51525619e-14,1.25509462e-06,-1.25509473e-06
