Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.142000897,0,-1.25603074e-05,1.25421038e-05
0.143000903,0,-1.20697514e-05,1.20565119e-05
0.144000908,0,-1.14376389e-05,1.14300883e-05
0.145000928,0,-1.06531861e-05,1.06520683e-05
0.146000934,-5.62161808e-14,-9.70561086e-06,9.7116781e-06
0.147000939,-2.81097997e-14,-8.58420299e-06,8.59820739e-06
0.148000945,5.62127656e-14,-7.27843826e-06,7.30112788e-06
0.14900095,8.43191483e-14,-5.77803348e-06,5.81015411e-06
0.150000956,-5.97666448e-18,-4.07304333e-06,4.11534256e-06
0.151000962,-1.96762596e-13,-2.15395244e-06,2.20718698e-06
0.152000967,-3.37304756e-13,-1.17618111e-08,7.67053052e-08
0.153000973,-4.49738825e-13,2.36185906e-06,-2.28440786e-06
0.154000979,-4.4974224e-13,4.97452083e-06,-4.88373234e-06
0.155000984,-5.05960128e-13,7.83289215e-06,-7.72790281e-06
0.15600099,-6.18394171e-13,1.09426946e-05,-1.08226122e-05
0.157000996,-6.18397586e-13,1.43083889e-05,-1.41723021e-05
0.158001001,-6.18401001e-13,1.79331764e-05,-1.77801649e-05
0.159001007,-5.05972055e-13,2.18186578e-05,-2.16478147e-05
0.160001012,-2.81110747e-13,2.59647877e-05,-2.57752399e-05
0.161001018,-5.62460235e-14,3.03695742e-05,-3.01605069e-05
0.162001024,-5.62460235e-14,3.50289702e-05,-3.47996465e-05
0.163001029,-5.0597547e-13,3.99366654e-05,-3.96864561e-05
0.164001049,-1.18056953e-12,4.50839216e-05,-4.48123174e-05
0.165001054,-9.55718469e-13,5.04593918e-05,-5.01660288e-05
0.16600106,-2.8113796e-13,5.60489061e-05,-5.57335734e-05
0.167001066,1.68584656e-13,6.18353806e-05,-6.14980308e-05
0.168001071,-2.81131103e-13,6.77986609e-05,-6.74394178e-05
0.169001077,-1.18056259e-12,7.39153475e-05,-7.35345093e-05
0.170001083,-2.52972361e-12,8.01586939e-05,-7.97567409e-05
0.171001088,-2.97945306e-12,8.64984613e-05,-8.60760556e-05
0.172001094,-1.6303057e-12,9.2900751e-05,-9.24587512e-05
0.1730011,1.06798901e-12,9.93279609e-05,-9.88674292e-05
0.174001105,2.41710905e-12,0.00010573864,-0.00010526085
0.175001111,1.06790705e-12,0.000112087415,-0.000111593858
0.176001116,-1.18072652e-12,0.000118324904,-0.000117817319
0.177001122,-4.77850745e-12,0.000124397717,-0.000123878097
0.178001128,-6.12768213e-12,0.000130248329,-0.000129718974
0.179001133,-5.22825056e-12,0.000135815179,-0.000135278693
0.180001139,-2.52995585e-12,0.000141032579,-0.000140491931
0.181001145,-2.81404457e-13,0.000145830913,-0.00014528945
0.18200115,6.17972416e-13,0.000150136693,-0.000149598171
0.18300117,-2.81541121e-13,0.000153872694,-0.000153341272
0.184001175,-2.81595792e-13,0.000156958136,-0.0001564384
0.185001181,-2.81623114e-13,0.000159309013,-0.000158805953
0.186001187,6.17835752e-13,0.000160838259,-0.000160357304
0.187001192,3.316185e-12,0.000161456104,-0.000161003118
0.188001198,3.31615768e-12,0.00016107058,-0.00016065182
0.189001204,1.06748312e-12,0.000159587682,-0.000159209783
0.190001209,-2.8175975e-13,0.000156912211,-0.000156582173
0.191001215,6.17576194e-13,0.000152948007,-0.000152673136
0.19200122,5.1147064e-12,0.000147598694,-0.000147386614
0.193001226,1.23101859e-11,0.000140768025,-0.000140626697
0.194001232,1.54581955e-11,0.000132360918,-0.000132298592
0.195001237,1.18604015e-11,0.000122283862,-0.000122309066
0.196001243,3.99022482e-12,0.000110446148,-0.0001105677
0.197001249,-4.10485014e-12,9.67599844e-05,-9.69869434e-05
0.198001254,-8.15245614e-12,8.11421851e-05,-8.14838568e-05
0.19900126,-6.35368841e-12,6.35142715e-05,-6.3980151e-05
0.200001266,-5.76678462e-14,4.38042807e-05,-4.44040088e-05
0.201001271,7.13783936e-12,2.1947124e-05,-2.2690434e-05
0.202001291,1.11853088e-11,-2.11365455e-06,1.21703192e-06
0.203001296,1.07355522e-11,-2.84253092e-05,2.73657297e-05
0.204001302,6.6879874e-12,-5.70245138e-05,5.57925196e-05
0.205001308,3.9180291e-13,-8.79362487e-05,8.65226611e-05
0.206001313,-5.00492313e-12,-0.000121172678,0.0001195687
0.207001319,-6.80384091e-12,-0.000156731578,0.000154928857
0.208001324,-4.1055462e-12,-0.000194595341,0.000192586071
0.20900133,1.29104323e-12,-0.000234729901,0.000232506922
0.210001336,6.68757758e-12,-0.000277083367,0.000274640246
0.211001341,1.02851946e-11,-0.000321584841,0.000318915991
0.212001347,6.68730436e-12,-0.00036814349,0.000365244283
0.213001353,-5.08311709e-13,-0.000416646828,0.000413513655
0.214001358,-9.50268163e-12,-0.000466960017,0.000463590462
0.215001364,-1.66981342e-11,-0.000518924906,0.000515317835
0.21600137,-9.50246305e-12,-0.000572358898,0.00056851469
0.217001375,1.29093437e-12,-0.000627054309,0.000622974883
0.218001381,4.88866066e-12,-0.000682777259,0.0006784664
0.219001386,1.29082509e-12,-0.000739267038,0.000734730333
0.220001392,-5.90473677e-12,-0.000796235923,0.000791480998
0.221001398,-1.31001893e-11,-0.000853367615,0.000848404365
0.222001417,-2.02954233e-11,-0.000910319213,0.000905159919
0.223001423,-2.38928217e-11,-0.000966718246,0.000961377693
0.224001429,-1.6696932e-11,-0.00102216587,0.00101666141
0.225001434,-5.90353461e-12,-0.00107623427,0.0010705858
0.22600144,8.4875891e-12,-0.00112846924,0.00112269947
0.227001445,3.00741654e-11,-0.0011783893,0.00117252383
0.228001451,4.44652891e-11,-0.00122548826,0.00121955562
0.229001457,5.16609602e-11,-0.00126923469,0.00126326643
0.230001462,6.60525176e-11,-0.00130907481,0.0013031055
0.231001468,7.32486294e-11,-0.00134443294,0.0013385003
0.232001474,5.88581614e-11,-0.00137471431,0.00136885932
