Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.142000897,0,-2.1192729e-05,2.11239494e-05
0.143000903,0,-2.25098593e-05,2.24400901e-05
0.144000908,0,-2.38439607e-05,2.37735476e-05
0.145000928,0,-2.51892488e-05,2.51185611e-05
0.146000934,0,-2.65392973e-05,2.64687314e-05
0.147000939,0,-2.78870084e-05,2.78169791e-05
0.148000945,0,-2.92245804e-05,2.91555225e-05
0.14900095,0,-3.05434733e-05,3.04758505e-05
0.150000956,0,-3.18343773e-05,3.17686827e-05
0.151000962,0,-3.30871626e-05,3.30239382e-05
0.152000967,0,-3.42908606e-05,3.42307067e-05
0.153000973,0,-3.5433608e-05,3.53771939e-05
0.154000979,0,-3.65026353e-05,3.64507141e-05
0.155000984,0,-3.74842384e-05,3.74376577e-05
0.15600099,0,-3.83637598e-05,3.83234656e-05
0.157000996,0,-3.91255999e-05,3.90926325e-05
0.158001001,0,-3.97531985e-05,3.97286967e-05
0.159001007,0,-4.0229068e-05,4.02142468e-05
0.160001012,0,-4.05348001e-05,4.05309547e-05
0.161001018,0,-4.06510881e-05,4.06595827e-05
0.162001024,0,-4.05577739e-05,4.05800238e-05
0.163001029,0,-4.02338592e-05,4.02713376e-05
0.164001049,0,-3.96575488e-05,3.97117765e-05
0.165001054,0,-3.88062799e-05,3.88788139e-05
0.16600106,0,-3.76567732e-05,3.77492033e-05
0.167001066,0,-3.61850616e-05,3.6299014e-05
0.168001071,0,-3.43665597e-05,3.45037042e-05
0.169001077,0,-3.21761108e-05,3.23381682e-05
0.170001083,1.12428946e-13,-2.95880582e-05,2.97768001e-05
0.171001088,2.24857893e-13,-2.65763374e-05,2.67935884e-05
0.172001094,3.37286839e-13,-2.31145659e-05,2.33622122e-05
0.1730011,4.49715785e-13,-1.91761683e-05,1.94561544e-05
0.174001105,5.62144732e-13,-1.47344945e-05,1.50488177e-05
0.175001111,2.24854477e-13,-9.7629727e-06,1.01136839e-05
0.176001116,-4.49726031e-13,-4.23526762e-06,4.6244545e-06
0.177001122,-8.99448647e-13,1.8745427e-06,-1.4447661e-06
0.178001128,-8.99448647e-13,8.59177635e-06,-8.11929112e-06
0.179001133,-4.49732862e-13,1.59409465e-05,-1.5423655e-05
0.180001139,-1.70761842e-17,2.39455476e-05,-2.33813989e-05
0.181001145,-4.49746523e-13,3.2627835e-05,-3.20148501e-05
0.18200115,-1.34919181e-12,4.20085889e-05,-4.1344887e-05
0.18300117,-1.79889393e-12,5.2106876e-05,-5.13907071e-05
0.184001175,-1.79886661e-12,6.29397982e-05,-6.21695508e-05
0.185001181,-4.49664611e-13,7.45222351e-05,-7.3696443e-05
0.186001187,4.49794282e-13,8.68665593e-05,-8.59839492e-05
