Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.142005255,0,-1.33305894e-05,1.33305894e-05
0.143005302,0,-1.29531982e-05,1.29531982e-05
0.144005335,0,-1.24407761e-05,1.24407761e-05
0.145005369,0,-1.17824284e-05,1.17824284e-05
0.146005402,0,-1.09671682e-05,1.09671682e-05
0.147005449,0,-9.98397809e-06,9.98397809e-06
0.148005483,0,-8.82189852e-06,8.82189852e-06
0.149005516,0,-7.47011654e-06,7.47011654e-06
0.150005564,0,-5.91803928e-06,5.91803928e-06
0.151005597,0,-4.15539989e-06,4.15539989e-06
0.15200563,0,-2.17236766e-06,2.17236766e-06
0.153005664,0,4.03498461e-08,-4.03498461e-08
0.154005711,0,2.49133973e-06,-2.49133973e-06
0.155005744,0,5.18839306e-06,-5.18839306e-06
0.156005778,0,8.13834322e-06,-8.13834322e-06
0.157005811,0,1.13469296e-05,-1.13469296e-05
0.158005858,0,1.481863e-05,-1.481863e-05
0.159005892,0,1.85565041e-05,-1.85565041e-05
0.160005925,0,2.25620333e-05,-2.25620333e-05
0.161005959,0,2.68349559e-05,-2.68349559e-05
0.162006006,0,3.13730816e-05,-3.13730816e-05
0.163006039,0,3.61720813e-05,-3.61720813e-05
0.164006073,0,4.12253648e-05,-4.12253648e-05
0.165006106,0,4.65238845e-05,-4.65238845e-05
0.166006153,0,5.20559661e-05,-5.20559661e-05
0.167006187,0,5.78071667e-05,-5.78071667e-05
0.16800622,0,6.37599733e-05,-6.37599733e-05
0.169006267,0,6.98937874e-05,-6.98937874e-05
0.170006301,0,7.61846968e-05,-7.61846968e-05
0.171006334,0,8.26053511e-05,-8.26053511e-05
0.172006367,0,8.91247764e-05,-8.91247764e-05
0.173006415,0,9.57082593e-05,-9.57082593e-05
0.174006448,0,0.000102317259,-0.000102317259
0.175006482,0,0.000108909277,-0.000108909277
0.176006515,0,0.000115437797,-0.000115437797
0.177006562,0,0.000121852187,-0.000121852187
0.178006596,0,0.000128097701,-0.000128097701
0.179006629,0,0.000134115398,-0.000134115398
0.180006662,0,0.000139842217,-0.000139842217
0.18100671,0,0.000145210972,-0.000145210972
0.182006743,0,0.000150150488,-0.000150150488
0.183006776,0,0.00015458565,-0.00015458565
0.18400681,0,0.00015843763,-0.00015843763
0.185006857,0,0.00016162399,-0.00016162399
0.18600689,0,0.000164058976,-0.000164058976
0.187006924,0,0.000165653837,-0.000165653837
0.188006971,0,0.000166316953,-0.000166316953
0.189007004,0,0.000165954538,-0.000165954538
0.190007038,0,0.00016447081,-0.00016447081
0.191007071,0,0.000161768548,-0.000161768548
0.192007119,0,0.000157749644,-0.000157749644
0.193007152,0,0.000152315581,-0.000152315581
0.194007185,0,0.000145368263,-0.000145368263
0.195007219,0,0.000136810559,-0.000136810559
0.196007266,0,0.000126547093,-0.000126547093
0.197007299,0,0.000114484938,-0.000114484938
0.198007333,0,0.000100534737,-0.000100534729
0.199007366,2.02084063e-13,8.46113762e-05,-8.46113689e-05
0.200007413,6.0625219e-13,6.66349879e-05,-6.66349879e-05
0.201007447,1.01042026e-12,4.65318626e-05,-4.65318662e-05
0.20200748,1.31354639e-12,2.42358419e-05,-2.42358492e-05
